time,epoch,batch,loss,cost
0min30sec,0,1420,0.616,10.254,1.993
0min29sec,0,1430,0.612,10.247,1.990
0min31sec,0,1440,0.605,10.241,1.986
0min30sec,0,1450,0.598,10.235,1.982
0min30sec,0,1460,0.593,10.230,1.979
0min30sec,0,1470,0.590,10.224,1.976
0min31sec,0,1480,0.585,10.219,1.973
0min30sec,0,1490,0.579,10.213,1.970
0min31sec,0,1500,0.575,10.207,1.967
0min31sec,0,1510,0.570,10.202,1.964
0min32sec,0,1520,0.567,10.196,1.961
0min27sec,0,1530,0.562,10.190,1.957
0min27sec,0,1540,0.558,10.185,1.953
0min27sec,0,1550,0.553,10.179,1.950
0min29sec,0,1560,0.546,10.174,1.947
0min30sec,0,1570,0.540,10.169,1.944
0min27sec,0,1580,0.534,10.163,1.941
0min24sec,0,1590,0.531,10.158,1.938
0min25sec,0,1600,0.527,10.153,1.935
0min27sec,0,1610,0.525,10.148,1.932
0min26sec,0,1620,0.522,10.142,1.929
0min23sec,0,1630,0.518,10.137,1.926
0min26sec,0,1640,0.514,10.132,1.923
0min29sec,0,1650,0.510,10.127,1.921
0min25sec,0,1660,0.505,10.122,1.918
0min25sec,0,1670,0.502,10.117,1.915
0min27sec,0,1680,0.498,10.112,1.912
0min28sec,0,1690,0.493,10.107,1.909
0min25sec,0,1700,0.490,10.102,1.907
0min25sec,0,1710,0.487,10.097,1.904
0min26sec,0,1720,0.482,10.093,1.901
0min26sec,0,1730,0.479,10.088,1.898
0min26sec,0,1740,0.474,10.083,1.895
0min26sec,0,1750,0.471,10.078,1.892
0min25sec,0,1760,0.466,10.074,1.889
0min26sec,0,1770,0.463,10.069,1.886
0min27sec,0,1780,0.460,10.065,1.883
0min27sec,0,1790,0.454,10.061,1.881
0min27sec,0,1800,0.451,10.056,1.879
0min27sec,0,1810,0.448,10.052,1.876
0min27sec,0,1820,0.447,10.048,1.873
0min25sec,0,1830,0.444,10.043,1.871
0min24sec,0,1840,0.440,10.039,1.868
0min25sec,0,1850,0.438,10.035,1.865
0min25sec,0,1860,0.436,10.030,1.862
0min27sec,0,1870,0.433,10.026,1.860
0min24sec,0,1880,0.432,10.022,1.858
0min26sec,0,1890,0.430,10.018,1.856
0min25sec,0,1900,0.428,10.014,1.853
0min24sec,0,1910,0.426,10.009,1.851
0min25sec,0,1920,0.423,10.005,1.850
0min25sec,0,1930,0.420,10.001,1.847
0min25sec,0,1940,0.419,9.997,1.845
0min26sec,0,1950,0.416,9.993,1.842
0min25sec,0,1960,0.414,9.989,1.839
0min26sec,0,1970,0.413,9.986,1.837
0min27sec,0,1980,0.410,9.982,1.834
0min26sec,0,1990,0.408,9.978,1.832
0min22sec,0,2000,0.407,9.974,1.830
0min26sec,0,2010,0.404,9.969,1.828
0min27sec,0,2020,0.401,9.966,1.826
