time,epoch,batch,loss,cost
0min3sec,0,0,4.954,14.851,6.191
0min23sec,0,10,34.697,12.482,7.600
0min22sec,0,20,25.923,11.601,7.357
0min22sec,0,30,20.050,10.967,6.983
0min22sec,0,40,16.282,10.485,6.679
0min22sec,0,50,13.616,10.106,6.399
0min23sec,0,60,11.497,9.817,6.177
0min22sec,0,70,9.938,9.591,5.991
0min22sec,0,80,8.693,9.412,5.836
0min22sec,0,90,7.762,9.263,5.711
0min22sec,0,100,6.968,9.139,5.609
0min22sec,0,110,6.358,9.033,5.521
0min22sec,0,120,5.840,8.938,5.439
0min24sec,0,130,5.376,8.859,5.373
0min24sec,0,140,4.999,8.788,5.309
0min24sec,0,150,4.648,8.728,5.254
0min22sec,0,160,4.363,8.672,5.210
0min21sec,0,170,4.114,8.620,5.165
0min22sec,0,180,3.891,8.572,5.124
0min22sec,0,190,3.685,8.530,5.083
0min23sec,0,200,3.502,8.490,5.043
0min21sec,0,210,3.349,8.453,5.009
0min24sec,0,220,3.194,8.419,4.979
0min24sec,0,230,3.045,8.388,4.948
0min23sec,0,240,2.922,8.360,4.916
0min23sec,0,250,2.817,8.331,4.888
0min24sec,0,260,2.707,8.305,4.866
0min22sec,0,270,2.610,8.282,4.842
0min22sec,0,280,2.523,8.258,4.819
0min22sec,0,290,2.439,8.236,4.801
0min22sec,0,300,2.360,8.216,4.784
0min22sec,0,310,2.283,8.197,4.764
0min22sec,0,320,2.218,8.177,4.745
0min22sec,0,330,2.157,8.159,4.726
0min22sec,0,340,2.092,8.141,4.709
0min22sec,0,350,2.031,8.125,4.692
0min22sec,0,360,1.970,8.111,4.678
0min22sec,0,370,1.921,8.097,4.664
0min22sec,0,380,1.876,8.083,4.649
0min22sec,0,390,1.827,8.070,4.634
0min22sec,0,400,1.788,8.056,4.619
0min23sec,0,410,1.743,8.044,4.604
0min23sec,0,420,1.703,8.032,4.591
0min24sec,0,430,1.661,8.020,4.578
0min23sec,0,440,1.619,8.009,4.566
0min25sec,0,450,1.584,7.997,4.553
0min23sec,0,460,1.551,7.986,4.542
0min23sec,0,470,1.519,7.974,4.531
0min23sec,0,480,1.483,7.964,4.519
0min23sec,0,490,1.454,7.954,4.507
0min23sec,0,500,1.427,7.944,4.496
0min23sec,0,510,1.404,7.934,4.485
0min22sec,0,520,1.375,7.924,4.474
0min22sec,0,530,1.350,7.915,4.466
0min23sec,0,540,1.325,7.906,4.456
0min24sec,0,550,1.299,7.898,4.446
0min23sec,0,560,1.280,7.890,4.436
0min23sec,0,570,1.258,7.882,4.428
0min23sec,0,580,1.233,7.874,4.418
0min24sec,0,590,1.216,7.866,4.411
0min23sec,0,600,1.194,7.859,4.404
0min23sec,0,610,1.172,7.852,4.396
0min23sec,0,620,1.153,7.845,4.388
0min23sec,0,630,1.136,7.838,4.382
0min23sec,0,640,1.118,7.831,4.375
0min24sec,0,650,1.100,7.824,4.369
0min25sec,0,660,1.085,7.817,4.362
0min24sec,0,670,1.069,7.811,4.356
0min22sec,0,680,1.055,7.804,4.349
0min30sec,0,690,1.040,7.798,4.341
0min34sec,0,700,1.029,7.792,4.334
0min30sec,0,710,1.015,7.786,4.330
0min32sec,0,720,0.999,7.780,4.324
0min34sec,0,730,0.986,7.774,4.318
0min32sec,0,740,0.976,7.769,4.313
0min29sec,0,750,0.964,7.763,4.309
0min31sec,0,760,0.951,7.758,4.303
0min32sec,0,770,0.938,7.752,4.297
0min28sec,0,780,0.926,7.747,4.293
0min33sec,0,790,0.916,7.742,4.288
0min28sec,0,800,0.908,7.737,4.284
0min23sec,0,810,0.898,7.732,4.281
0min29sec,0,820,0.888,7.727,4.276
0min27sec,0,830,0.877,7.722,4.271
0min27sec,0,840,0.868,7.717,4.268
0min26sec,0,850,0.859,7.712,4.264
0min27sec,0,860,0.851,7.708,4.259
0min30sec,0,870,0.842,7.703,4.256
0min29sec,0,880,0.833,7.699,4.251
0min24sec,0,890,0.826,7.694,4.247
0min24sec,0,900,0.819,7.690,4.243
0min28sec,0,910,0.810,7.686,4.239
0min31sec,0,920,0.802,7.682,4.235
0min39sec,0,930,0.795,7.678,4.230
0min24sec,0,940,0.790,7.674,4.226
0min24sec,0,950,0.783,7.670,4.222
0min26sec,0,960,0.779,7.665,4.218
0min31sec,0,970,0.770,7.661,4.213
0min27sec,0,980,0.762,7.657,4.208
0min31sec,0,990,0.757,7.653,4.204
0min36sec,0,1000,0.751,7.649,4.200
0min30sec,0,1010,0.746,7.645,4.196
0min29sec,0,1020,0.737,7.642,4.191
0min29sec,0,1030,0.731,7.638,4.187
0min29sec,0,1040,0.727,7.634,4.184
0min29sec,0,1050,0.722,7.630,4.179
0min30sec,0,1060,0.714,7.627,4.175
0min28sec,0,1070,0.710,7.623,4.172
0min29sec,0,1080,0.705,7.620,4.169
0min28sec,0,1090,0.701,7.617,4.166
0min29sec,0,1100,0.696,7.614,4.164
0min32sec,0,1110,0.692,7.610,4.160
0min28sec,0,1120,0.688,7.607,4.158
0min28sec,0,1130,0.684,7.604,4.155
0min28sec,0,1140,0.679,7.600,4.152
0min29sec,0,1150,0.675,7.597,4.149
0min36sec,0,1160,0.671,7.594,4.147
0min39sec,0,1170,0.665,7.591,4.144
0min37sec,0,1180,0.661,7.588,4.142
0min35sec,0,1190,0.656,7.585,4.139
0min34sec,0,1200,0.652,7.582,4.137
0min30sec,0,1210,0.648,7.579,4.135
0min29sec,0,1220,0.644,7.576,4.133
0min30sec,0,1230,0.639,7.574,4.131
0min27sec,0,1240,0.637,7.571,4.128
0min30sec,0,1250,0.633,7.568,4.126
0min26sec,0,1260,0.629,7.565,4.123
0min24sec,0,1270,0.625,7.562,4.122
0min24sec,0,1280,0.622,7.560,4.119
0min27sec,0,1290,0.618,7.557,4.116
0min28sec,0,1300,0.616,7.554,4.113
0min29sec,0,1310,0.613,7.551,4.110
0min28sec,0,1320,0.610,7.549,4.107
0min28sec,0,1330,0.606,7.546,4.105
0min29sec,0,1340,0.602,7.543,4.102
0min26sec,0,1350,0.598,7.541,4.100
0min25sec,0,1360,0.595,7.538,4.097
0min27sec,0,1370,0.593,7.535,4.095
0min26sec,0,1380,0.591,7.532,4.093
0min26sec,0,1390,0.587,7.530,4.090
0min30sec,0,1400,0.583,7.527,4.087
0min27sec,0,1410,0.581,7.524,4.085
0min25sec,0,1420,0.578,7.522,4.082
0min30sec,0,1430,0.575,7.520,4.081
0min29sec,0,1440,0.573,7.517,4.078
0min31sec,0,1450,0.571,7.514,4.076
0min26sec,0,1460,0.567,7.512,4.074
0min26sec,0,1470,0.562,7.510,4.071
0min26sec,0,1480,0.560,7.508,4.069
0min29sec,0,1490,0.556,7.506,4.068
0min29sec,0,1500,0.554,7.504,4.065
0min28sec,0,1510,0.552,7.501,4.063
0min28sec,0,1520,0.549,7.499,4.060
0min26sec,0,1530,0.545,7.497,4.058
0min27sec,0,1540,0.544,7.495,4.056
0min25sec,0,1550,0.543,7.492,4.053
0min29sec,0,1560,0.539,7.490,4.052
0min27sec,0,1570,0.537,7.488,4.050
0min24sec,0,1580,0.535,7.486,4.048
0min24sec,0,1590,0.532,7.484,4.046
0min26sec,0,1600,0.530,7.482,4.043
0min36sec,0,1610,0.529,7.480,4.041
0min33sec,0,1620,0.527,7.478,4.039
0min31sec,0,1630,0.526,7.476,4.037
0min24sec,0,1640,0.525,7.474,4.035
0min24sec,0,1650,0.523,7.472,4.033
0min23sec,0,1660,0.521,7.470,4.031
0min24sec,0,1670,0.519,7.468,4.028
0min28sec,0,1680,0.517,7.466,4.026
0min39sec,0,1690,0.515,7.464,4.024
0min28sec,0,1700,0.514,7.462,4.022
0min29sec,0,1710,0.512,7.461,4.020
0min31sec,0,1720,0.511,7.459,4.018
0min33sec,0,1730,0.506,7.457,4.016
