time,epoch,batch,loss,cost
0min24sec,0,1740,0.506,7.455,4.015
0min25sec,0,1750,0.505,7.453,4.013
0min25sec,0,1760,0.503,7.452,4.011
0min27sec,0,1770,0.500,7.450,4.008
0min27sec,0,1780,0.499,7.448,4.007
0min27sec,0,1790,0.498,7.446,4.005
0min24sec,0,1800,0.496,7.445,4.003
0min24sec,0,1810,0.494,7.443,4.001
0min25sec,0,1820,0.491,7.442,4.000
0min26sec,0,1830,0.489,7.440,3.998
0min28sec,0,1840,0.487,7.438,3.996
0min27sec,0,1850,0.485,7.436,3.994
0min25sec,0,1860,0.483,7.435,3.992
0min25sec,0,1870,0.482,7.433,3.991
0min25sec,0,1880,0.481,7.431,3.990
0min27sec,0,1890,0.479,7.430,3.988
0min25sec,0,1900,0.478,7.428,3.987
0min26sec,0,1910,0.477,7.426,3.985
0min26sec,0,1920,0.475,7.424,3.984
0min26sec,0,1930,0.474,7.423,3.983
0min24sec,0,1940,0.472,7.421,3.981
0min24sec,0,1950,0.470,7.419,3.979
0min24sec,0,1960,0.469,7.418,3.978
0min25sec,0,1970,0.468,7.416,3.977
0min24sec,0,1980,0.466,7.414,3.975
0min23sec,0,1990,0.466,7.413,3.974
0min26sec,0,2000,0.464,7.411,3.972
0min28sec,0,2010,0.463,7.410,3.971
0min26sec,0,2020,0.462,7.408,3.969
0min28sec,0,2030,0.460,7.407,3.968
0min35sec,0,2040,0.458,7.406,3.967
0min27sec,0,2050,0.456,7.404,3.966
0min30sec,0,2060,0.456,7.403,3.964
0min32sec,0,2070,0.455,7.402,3.963
0min29sec,0,2080,0.454,7.400,3.961
0min35sec,0,2090,0.453,7.398,3.960
0min35sec,0,2100,0.452,7.397,3.958
0min31sec,0,2110,0.452,7.396,3.957
0min28sec,0,2120,0.451,7.394,3.956
0min28sec,0,2130,0.450,7.393,3.954
0min27sec,0,2140,0.449,7.391,3.952
0min29sec,0,2150,0.448,7.390,3.951
0min30sec,0,2160,0.445,7.389,3.950
0min27sec,0,2170,0.444,7.388,3.949
0min27sec,0,2180,0.443,7.386,3.948
0min31sec,0,2190,0.443,7.385,3.947
0min31sec,0,2200,0.443,7.383,3.946
0min33sec,0,2210,0.442,7.382,3.945
0min37sec,0,2220,0.441,7.380,3.943
0min26sec,0,2230,0.441,7.379,3.942
0min25sec,0,2240,0.440,7.378,3.940
0min25sec,0,2250,0.440,7.376,3.939
0min26sec,0,2260,0.438,7.375,3.938
0min25sec,0,2270,0.437,7.374,3.936
0min25sec,0,2280,0.435,7.372,3.935
0min27sec,0,2290,0.435,7.371,3.934
0min26sec,0,2300,0.434,7.370,3.933
0min29sec,0,2310,0.433,7.368,3.931
0min26sec,0,2320,0.432,7.367,3.930
0min27sec,0,2330,0.431,7.366,3.929
0min26sec,0,2340,0.431,7.364,3.927
0min25sec,0,2350,0.428,7.363,3.926
0min25sec,0,2360,0.428,7.362,3.925
0min25sec,0,2370,0.427,7.361,3.924
0min26sec,0,2380,0.426,7.360,3.923
0min28sec,0,2390,0.425,7.358,3.923
0min28sec,0,2400,0.424,7.357,3.922
0min26sec,0,2410,0.424,7.356,3.921
0min26sec,0,2420,0.423,7.355,3.920
0min28sec,0,2430,0.423,7.353,3.919
0min30sec,0,2440,0.421,7.352,3.917
0min30sec,0,2450,0.421,7.351,3.916
0min31sec,0,2460,0.421,7.350,3.915
0min34sec,0,2470,0.420,7.349,3.914
0min26sec,0,2480,0.420,7.348,3.913
0min37sec,0,2490,0.420,7.346,3.912
