time,epoch,batch,loss,cost
0min4sec,0,0,538.797,627.773,614.154
0min28sec,0,10,3365.919,451.530,435.255
0min27sec,0,20,2303.705,403.692,386.276
0min27sec,0,30,1799.545,372.530,354.973
0min27sec,0,40,1524.535,342.658,325.338
0min26sec,0,50,1308.921,316.636,299.627
0min26sec,0,60,1143.465,294.568,277.766
0min26sec,0,70,996.862,277.277,260.658
0min26sec,0,80,888.221,262.868,246.405
0min25sec,0,90,806.526,250.095,233.789
0min25sec,0,100,733.804,238.956,222.817
0min24sec,0,110,674.341,228.891,212.910
0min24sec,0,120,623.368,219.981,204.131
0min24sec,0,130,578.003,211.919,196.182
0min24sec,0,140,539.496,204.678,189.053
0min24sec,0,150,503.355,198.276,182.744
0min24sec,0,160,472.120,192.481,177.033
0min24sec,0,170,444.984,187.203,171.830
0min24sec,0,180,420.058,182.416,167.117
0min24sec,0,190,396.985,178.096,162.870
0min24sec,0,200,377.579,174.048,158.880
0min24sec,0,210,358.128,170.443,155.325
0min24sec,0,220,341.699,167.122,152.051
0min24sec,0,230,326.999,163.990,148.961
0min24sec,0,240,313.516,161.026,146.040
0min24sec,0,250,300.676,158.277,143.338
0min24sec,0,260,288.823,155.689,140.791
0min23sec,0,270,277.793,153.268,138.410
0min23sec,0,280,267.735,150.955,136.138
0min23sec,0,290,258.139,148.743,133.960
0min24sec,0,300,248.866,146.682,131.933
0min23sec,0,310,240.178,144.752,130.035
0min24sec,0,320,232.611,142.890,128.208
0min24sec,0,330,225.495,141.119,126.469
0min24sec,0,340,218.605,139.429,124.809
0min24sec,0,350,211.837,137.835,123.241
0min24sec,0,360,205.863,136.288,121.717
0min23sec,0,370,199.635,134.824,120.274
0min23sec,0,380,193.493,133.492,118.963
0min23sec,0,390,188.185,132.187,117.680
0min23sec,0,400,182.863,130.947,116.461
0min23sec,0,410,178.690,129.681,115.216
0min23sec,0,420,174.316,128.454,114.004
0min23sec,0,430,169.837,127.285,112.850
0min24sec,0,440,165.285,126.191,111.773
0min23sec,0,450,161.009,125.176,110.773
0min23sec,0,460,157.112,124.198,109.807
0min23sec,0,470,153.544,123.265,108.884
0min23sec,0,480,150.245,122.318,107.950
0min23sec,0,490,146.658,121.430,107.073
0min23sec,0,500,143.508,120.568,106.222
0min23sec,0,510,140.370,119.720,105.387
0min23sec,0,520,137.392,118.882,104.559
0min23sec,0,530,134.361,118.102,103.794
0min23sec,0,540,131.612,117.328,103.032
0min23sec,0,550,129.054,116.562,102.279
0min23sec,0,560,126.547,115.822,101.554
0min23sec,0,570,124.066,115.110,100.853
0min23sec,0,580,121.907,114.386,100.140
0min23sec,0,590,119.642,113.690,99.452
0min23sec,0,600,117.259,113.031,98.803
0min24sec,0,610,114.905,112.403,98.182
0min24sec,0,620,112.770,111.790,97.577
0min23sec,0,630,110.709,111.202,97.003
0min23sec,0,640,108.888,110.606,96.418
0min24sec,0,650,107.113,110.013,95.836
0min24sec,0,660,105.140,109.456,95.290
0min23sec,0,670,103.539,108.885,94.727
0min23sec,0,680,101.783,108.346,94.196
0min24sec,0,690,100.016,107.820,93.679
0min23sec,0,700,98.419,107.301,93.166
0min23sec,0,710,97.036,106.774,92.646
0min23sec,0,720,95.373,106.277,92.157
0min23sec,0,730,93.798,105.795,91.684
0min23sec,0,740,92.405,105.334,91.232
0min24sec,0,750,91.039,104.871,90.779
0min23sec,0,760,89.564,104.432,90.350
0min23sec,0,770,88.340,103.985,89.911
0min23sec,0,780,87.012,103.550,89.485
0min23sec,0,790,85.843,103.116,89.061
0min23sec,0,800,84.591,102.693,88.644
0min23sec,0,810,83.413,102.279,88.236
0min23sec,0,820,82.299,101.873,87.833
0min23sec,0,830,81.128,101.475,87.439
0min23sec,0,840,79.731,101.118,87.087
0min24sec,0,850,78.744,100.755,86.728
0min23sec,0,860,77.779,100.386,86.363
0min23sec,0,870,76.609,100.038,86.020
0min23sec,0,880,75.638,99.685,85.672
0min23sec,0,890,74.603,99.341,85.333
0min23sec,0,900,73.581,99.020,85.017
0min23sec,0,910,72.752,98.684,84.688
0min24sec,0,920,71.822,98.355,84.362
0min23sec,0,930,70.868,98.033,84.048
0min24sec,0,940,69.827,97.747,83.769
0min24sec,0,950,69.046,97.435,83.462
0min24sec,0,960,68.261,97.122,83.153
0min24sec,0,970,67.349,96.819,82.857
0min24sec,0,980,66.483,96.516,82.560
0min24sec,0,990,65.648,96.221,82.267
0min23sec,0,1000,64.857,95.926,81.975
0min23sec,0,1010,63.983,95.655,81.705
0min23sec,0,1020,63.247,95.386,81.436
0min23sec,0,1030,62.535,95.121,81.170
0min24sec,0,1040,61.797,94.857,80.905
0min24sec,0,1050,61.152,94.597,80.647
0min23sec,0,1060,60.554,94.331,80.383
0min23sec,0,1070,59.827,94.073,80.129
0min23sec,0,1080,59.133,93.828,79.889
0min23sec,0,1090,58.423,93.587,79.652
0min23sec,0,1100,57.721,93.352,79.419
0min23sec,0,1110,57.084,93.108,79.180
0min23sec,0,1120,56.550,92.848,78.926
0min23sec,0,1130,55.871,92.604,78.687
0min23sec,0,1140,55.201,92.371,78.459
0min23sec,0,1150,54.411,92.156,78.248
0min23sec,0,1160,53.916,91.924,78.018
0min23sec,0,1170,53.334,91.692,77.789
0min23sec,0,1180,52.774,91.467,77.567
0min23sec,0,1190,52.151,91.244,77.347
0min23sec,0,1200,51.583,91.037,77.143
0min23sec,0,1210,51.033,90.828,76.940
0min23sec,0,1220,50.557,90.611,76.726
0min23sec,0,1230,49.990,90.395,76.515
0min24sec,0,1240,49.343,90.199,76.322
0min23sec,0,1250,48.742,90.017,76.141
0min23sec,0,1260,48.347,89.817,75.944
0min24sec,0,1270,47.889,89.615,75.745
0min23sec,0,1280,47.326,89.428,75.561
0min23sec,0,1290,46.946,89.228,75.362
0min23sec,0,1300,46.376,89.052,75.188
0min23sec,0,1310,45.997,88.874,75.011
0min24sec,0,1320,45.623,88.691,74.829
0min24sec,0,1330,45.152,88.514,74.654
0min23sec,0,1340,44.713,88.344,74.486
0min23sec,0,1350,44.269,88.173,74.318
0min23sec,0,1360,43.865,87.998,74.145
0min23sec,0,1370,43.474,87.818,73.967
0min23sec,0,1380,43.021,87.649,73.799
0min23sec,0,1390,42.628,87.474,73.626
0min23sec,0,1400,42.182,87.307,73.461
0min24sec,0,1410,41.830,87.133,73.289
0min23sec,0,1420,41.440,86.964,73.122
0min23sec,0,1430,41.061,86.803,72.962
0min23sec,0,1440,40.708,86.643,72.804
0min23sec,0,1450,40.316,86.488,72.651
0min23sec,0,1460,39.958,86.330,72.497
0min23sec,0,1470,39.574,86.179,72.349
0min23sec,0,1480,39.257,86.022,72.194
0min23sec,0,1490,38.909,85.860,72.035
0min23sec,0,1500,38.543,85.702,71.880
0min23sec,0,1510,38.207,85.547,71.726
0min24sec,0,1520,37.844,85.394,71.576
0min23sec,0,1530,37.528,85.248,71.432
0min23sec,0,1540,37.231,85.104,71.290
0min23sec,0,1550,36.898,84.960,71.150
0min23sec,0,1560,36.576,84.815,71.009
0min23sec,0,1570,36.302,84.667,70.864
0min23sec,0,1580,35.979,84.526,70.726
0min24sec,0,1590,35.627,84.392,70.594
0min23sec,0,1600,35.280,84.264,70.468
0min23sec,0,1610,35.068,84.132,70.338
0min23sec,0,1620,34.779,83.996,70.205
0min23sec,0,1630,34.529,83.854,70.067
0min23sec,0,1640,34.224,83.719,69.936
0min23sec,0,1650,33.981,83.576,69.797
0min23sec,0,1660,33.629,83.445,69.671
0min23sec,0,1670,33.285,83.326,69.555
0min23sec,0,1680,33.024,83.205,69.437
0min23sec,0,1690,32.803,83.071,69.307
0min23sec,0,1700,32.479,82.940,69.179
0min23sec,0,1710,32.221,82.810,69.053
0min24sec,0,1720,31.910,82.688,68.935
0min23sec,0,1730,31.583,82.574,68.826
0min23sec,0,1740,31.336,82.461,68.717
0min23sec,0,1750,31.117,82.340,68.598
0min23sec,0,1760,30.857,82.228,68.486
0min23sec,0,1770,30.668,82.110,68.371
0min23sec,0,1780,30.366,81.998,68.262
0min23sec,0,1790,30.092,81.893,68.160
0min23sec,0,1800,29.918,81.777,68.047
0min23sec,0,1810,29.710,81.662,67.933
0min23sec,0,1820,29.548,81.544,67.815
0min23sec,0,1830,29.313,81.430,67.702
0min24sec,0,1840,29.058,81.322,67.596
0min23sec,0,1850,28.806,81.220,67.495
0min24sec,0,1860,28.578,81.124,67.400
0min23sec,0,1870,28.431,81.015,67.293
0min23sec,0,1880,28.267,80.899,67.178
0min23sec,0,1890,28.013,80.792,67.072
0min23sec,0,1900,27.812,80.682,66.964
0min23sec,0,1910,27.571,80.574,66.858
0min23sec,0,1920,27.342,80.467,66.754
0min23sec,0,1930,27.091,80.365,66.654
0min23sec,0,1940,26.885,80.259,66.550
0min23sec,0,1950,26.654,80.158,66.449
0min23sec,0,1960,26.420,80.061,66.353
0min23sec,0,1970,26.235,79.956,66.249
0min24sec,0,1980,26.019,79.858,66.151
0min23sec,0,1990,25.797,79.760,66.053
0min23sec,0,2000,25.581,79.667,65.961
0min23sec,0,2010,25.395,79.573,65.867
0min23sec,0,2020,25.164,79.482,65.777
0min23sec,0,2030,24.958,79.393,65.690
0min23sec,0,2040,24.845,79.294,65.592
0min23sec,0,2050,24.618,79.204,65.503
0min23sec,0,2060,24.443,79.112,65.413
0min23sec,0,2070,24.266,79.020,65.322
0min23sec,0,2080,24.089,78.932,65.235
0min23sec,0,2090,23.937,78.840,65.146
0min23sec,0,2100,23.725,78.752,65.059
0min23sec,0,2110,23.555,78.666,64.974
0min23sec,0,2120,23.395,78.574,64.884
0min23sec,0,2130,23.251,78.479,64.792
0min23sec,0,2140,23.069,78.386,64.699
0min23sec,0,2150,22.881,78.296,64.611
0min23sec,0,2160,22.723,78.208,64.524
0min23sec,0,2170,22.547,78.122,64.439
0min23sec,0,2180,22.420,78.033,64.350
0min23sec,0,2190,22.299,77.938,64.257
0min23sec,0,2200,22.087,77.852,64.172
0min23sec,0,2210,21.937,77.764,64.086
0min23sec,0,2220,21.814,77.670,63.993
0min23sec,0,2230,21.617,77.584,63.908
0min23sec,0,2240,21.431,77.499,63.825
0min23sec,0,2250,21.271,77.418,63.745
0min23sec,0,2260,21.101,77.339,63.667
0min23sec,0,2270,20.911,77.265,63.594
0min23sec,0,2280,20.728,77.194,63.524
0min23sec,0,2290,20.578,77.126,63.457
0min23sec,0,2300,20.454,77.055,63.388
0min23sec,0,2310,20.341,76.980,63.314
0min23sec,0,2320,20.230,76.904,63.239
0min23sec,0,2330,20.084,76.828,63.164
0min23sec,0,2340,19.955,76.749,63.087
0min23sec,0,2350,19.795,76.675,63.015
0min23sec,0,2360,19.643,76.601,62.943
0min23sec,0,2370,19.509,76.526,62.870
0min23sec,0,2380,19.365,76.454,62.800
0min23sec,0,2390,19.220,76.386,62.733
0min24sec,0,2400,19.080,76.316,62.665
0min23sec,0,2410,18.974,76.243,62.594
0min23sec,0,2420,18.822,76.169,62.522
0min23sec,0,2430,18.702,76.092,62.447
0min23sec,0,2440,18.585,76.015,62.371
0min23sec,0,2450,18.438,75.943,62.301
0min23sec,0,2460,18.311,75.871,62.230
0min23sec,0,2470,18.194,75.797,62.157
0min23sec,0,2480,18.050,75.730,62.090
0min23sec,0,2490,17.902,75.668,62.028
41min42sec,1,0,-51.955,55.944,42.755
0min23sec,1,10,-95.503,58.742,45.590
0min23sec,1,20,-89.939,58.762,45.661
0min24sec,1,30,-93.521,59.366,46.325
0min23sec,1,40,-95.116,59.617,46.585
0min23sec,1,50,-91.492,59.306,46.227
0min23sec,1,60,-88.948,59.283,46.184
0min23sec,1,70,-88.023,59.244,46.124
0min23sec,1,80,-86.846,59.093,45.929
0min24sec,1,90,-87.747,59.229,46.028
0min24sec,1,100,-87.010,59.202,45.980
0min24sec,1,110,-87.036,59.133,45.891
0min23sec,1,120,-85.881,59.060,45.803
0min23sec,1,130,-84.923,58.960,45.705
0min23sec,1,140,-83.068,58.854,45.585
0min24sec,1,150,-82.398,58.840,45.560
0min24sec,1,160,-82.422,58.835,45.550
0min24sec,1,170,-82.525,58.881,45.607
0min24sec,1,180,-82.534,58.896,45.632
0min24sec,1,190,-83.499,58.966,45.699
0min24sec,1,200,-84.520,59.030,45.760
0min24sec,1,210,-85.443,59.105,45.820
0min24sec,1,220,-86.563,59.157,45.854
0min24sec,1,230,-86.471,59.163,45.849
0min24sec,1,240,-86.949,59.182,45.854
0min24sec,1,250,-86.913,59.175,45.834
0min24sec,1,260,-86.247,59.122,45.776
0min23sec,1,270,-85.874,59.091,45.743
0min24sec,1,280,-85.740,59.069,45.721
0min24sec,1,290,-85.199,59.039,45.686
0min23sec,1,300,-84.588,58.997,45.634
0min23sec,1,310,-83.348,58.928,45.558
0min24sec,1,320,-82.725,58.890,45.515
0min24sec,1,330,-82.761,58.907,45.527
0min24sec,1,340,-82.869,58.913,45.537
0min23sec,1,350,-82.821,58.920,45.545
0min23sec,1,360,-82.969,58.934,45.557
0min23sec,1,370,-82.664,58.926,45.550
0min24sec,1,380,-82.466,58.919,45.546
0min24sec,1,390,-82.412,58.931,45.561
0min23sec,1,400,-82.254,58.936,45.570
0min23sec,1,410,-82.410,58.942,45.575
0min24sec,1,420,-82.694,58.975,45.608
0min24sec,1,430,-82.943,59.001,45.638
0min24sec,1,440,-82.870,59.004,45.646
0min24sec,1,450,-82.939,59.035,45.683
0min24sec,1,460,-83.132,59.058,45.707
0min24sec,1,470,-83.468,59.113,45.762
0min24sec,1,480,-83.587,59.141,45.788
0min25sec,1,490,-83.401,59.139,45.784
0min24sec,1,500,-83.250,59.121,45.766
