time,epoch,batch,loss,cost
0min4sec,0,0,7827.609,6697.895,6684.089
0min36sec,0,10,41186.200,4470.076,4453.250
0min32sec,0,20,27099.914,3958.558,3940.601
0min33sec,0,30,20399.080,3645.307,3627.173
0min34sec,0,40,16956.423,3363.785,3345.775
0min33sec,0,50,14771.282,3104.755,3086.996
0min31sec,0,60,12966.651,2873.403,2855.922
0min30sec,0,70,11463.989,2678.230,2661.016
0min30sec,0,80,10228.199,2515.253,2498.292
0min29sec,0,90,9208.020,2375.837,2359.081
0min29sec,0,100,8407.915,2250.798,2234.233
0min29sec,0,110,7704.241,2141.482,2125.083
0min29sec,0,120,7091.250,2047.151,2030.891
0min29sec,0,130,6572.687,1963.925,1947.808
0min29sec,0,140,6093.711,1891.812,1875.815
0min29sec,0,150,5694.039,1828.194,1812.297
0min28sec,0,160,5358.885,1770.241,1754.439
0min29sec,0,170,5037.755,1719.018,1703.303
0min28sec,0,180,4770.427,1671.525,1655.885
0min29sec,0,190,4511.469,1628.858,1613.293
0min29sec,0,200,4282.358,1589.996,1574.495
0min28sec,0,210,4084.049,1553.794,1538.347
0min30sec,0,220,3893.167,1520.461,1505.058
0min28sec,0,230,3717.753,1490.147,1474.789
0min29sec,0,240,3560.040,1461.964,1446.653
0min29sec,0,250,3413.093,1435.439,1420.168
0min30sec,0,260,3268.071,1411.754,1396.525
0min30sec,0,270,3147.963,1389.181,1373.995
0min28sec,0,280,3029.043,1368.398,1353.253
0min28sec,0,290,2922.196,1348.269,1333.162
0min28sec,0,300,2822.089,1329.434,1314.358
0min28sec,0,310,2723.234,1311.613,1296.566
0min28sec,0,320,2635.570,1294.666,1279.649
0min29sec,0,330,2555.147,1277.924,1262.929
0min28sec,0,340,2471.833,1262.425,1247.453
0min28sec,0,350,2395.080,1247.917,1232.959
0min28sec,0,360,2326.645,1233.592,1218.651
0min28sec,0,370,2258.803,1219.955,1205.033
0min29sec,0,380,2196.034,1206.715,1191.807
0min29sec,0,390,2139.745,1193.861,1178.970
0min29sec,0,400,2081.718,1181.526,1166.656
0min30sec,0,410,2028.447,1169.705,1154.851
0min32sec,0,420,1975.887,1158.663,1143.824
0min34sec,0,430,1927.900,1147.862,1133.036
0min26sec,0,440,1883.427,1136.949,1122.131
0min26sec,0,450,1831.225,1127.186,1112.379
0min30sec,0,460,1788.126,1117.896,1103.101
0min25sec,0,470,1747.203,1108.610,1093.830
0min27sec,0,480,1703.942,1100.264,1085.496
0min27sec,0,490,1662.703,1092.376,1077.624
0min27sec,0,500,1630.833,1084.093,1069.355
0min27sec,0,510,1595.850,1076.075,1061.349
0min27sec,0,520,1563.146,1068.273,1053.560
0min27sec,0,530,1532.791,1060.666,1045.964
0min27sec,0,540,1501.028,1053.202,1038.510
0min27sec,0,550,1471.328,1045.891,1031.209
0min27sec,0,560,1443.950,1038.518,1023.848
0min28sec,0,570,1414.210,1031.627,1016.970
0min27sec,0,580,1386.921,1025.067,1010.424
0min27sec,0,590,1359.185,1018.736,1004.108
0min29sec,0,600,1330.959,1012.703,998.091
0min31sec,0,610,1307.586,1006.694,992.098
0min31sec,0,620,1283.701,1000.652,986.072
0min29sec,0,630,1258.583,994.921,980.353
0min27sec,0,640,1237.871,989.051,974.494
0min30sec,0,650,1214.012,983.580,969.033
0min28sec,0,660,1190.595,978.473,963.935
0min28sec,0,670,1170.680,973.357,958.826
0min27sec,0,680,1151.158,968.402,953.878
0min33sec,0,690,1132.861,963.311,948.794
0min31sec,0,700,1115.069,958.374,943.862
0min32sec,0,710,1097.813,953.298,938.790
0min34sec,0,720,1078.840,948.624,934.120
0min27sec,0,730,1064.111,944.009,929.505
0min31sec,0,740,1049.137,939.282,924.781
0min28sec,0,750,1032.635,934.767,920.267
0min28sec,0,760,1016.433,930.446,915.951
0min27sec,0,770,1002.896,926.129,911.638
0min32sec,0,780,988.787,921.897,907.410
0min26sec,0,790,975.308,917.723,903.241
0min27sec,0,800,961.683,913.507,899.030
0min27sec,0,810,947.731,909.531,895.060
0min27sec,0,820,934.977,905.559,891.095
0min27sec,0,830,919.741,901.960,887.504
0min27sec,0,840,906.997,898.554,884.103
0min27sec,0,850,896.710,894.946,880.500
0min27sec,0,860,883.358,891.558,877.117
0min27sec,0,870,872.632,888.163,873.726
0min27sec,0,880,860.643,884.827,870.393
0min29sec,0,890,850.092,881.400,866.967
0min28sec,0,900,839.527,878.003,863.574
0min36sec,0,910,828.809,874.623,860.195
0min30sec,0,920,818.342,871.378,856.949
0min30sec,0,930,807.957,868.229,853.801
0min30sec,0,940,798.831,865.032,850.606
0min34sec,0,950,788.162,861.967,847.545
0min31sec,0,960,778.562,858.967,844.550
0min25sec,0,970,768.472,856.148,841.734
0min28sec,0,980,759.876,853.365,838.956
0min27sec,0,990,752.315,850.418,836.013
0min27sec,0,1000,743.380,847.510,833.109
0min27sec,0,1010,734.553,844.671,830.273
0min27sec,0,1020,725.517,841.909,827.516
0min27sec,0,1030,717.048,839.224,824.835
0min27sec,0,1040,709.059,836.532,822.146
0min27sec,0,1050,701.521,833.882,819.500
0min27sec,0,1060,693.793,831.219,816.841
0min27sec,0,1070,686.542,828.443,814.066
0min27sec,0,1080,678.713,825.803,811.430
0min27sec,0,1090,671.164,823.245,808.875
0min28sec,0,1100,664.194,820.811,806.443
0min28sec,0,1110,657.932,818.264,803.900
0min30sec,0,1120,651.458,815.728,801.368
0min32sec,0,1130,644.515,813.286,798.931
0min33sec,0,1140,638.311,810.795,796.446
0min30sec,0,1150,630.841,808.429,794.086
0min29sec,0,1160,623.068,806.302,791.963
0min27sec,0,1170,617.689,804.089,789.752
0min30sec,0,1180,611.720,801.916,787.581
0min27sec,0,1190,605.567,799.763,785.431
0min29sec,0,1200,599.912,797.507,783.176
0min29sec,0,1210,593.737,795.363,781.034
0min28sec,0,1220,587.787,793.229,778.903
0min27sec,0,1230,582.446,791.044,776.721
0min28sec,0,1240,576.766,788.934,774.614
0min27sec,0,1250,570.768,786.904,772.586
0min28sec,0,1260,564.262,785.103,770.787
0min27sec,0,1270,559.775,783.124,768.809
0min30sec,0,1280,555.519,781.018,766.703
0min31sec,0,1290,549.735,779.071,764.757
0min29sec,0,1300,544.953,777.186,762.874
0min27sec,0,1310,540.246,775.333,761.022
0min28sec,0,1320,535.576,773.498,759.189
0min28sec,0,1330,530.704,771.727,757.420
0min27sec,0,1340,526.253,769.850,755.545
0min28sec,0,1350,521.866,767.977,753.672
0min28sec,0,1360,517.505,766.142,751.839
0min28sec,0,1370,512.999,764.370,750.067
0min27sec,0,1380,507.947,762.690,748.389
0min27sec,0,1390,504.804,760.869,746.570
0min28sec,0,1400,499.591,759.242,744.943
0min28sec,0,1410,495.732,757.619,743.321
0min28sec,0,1420,492.522,755.831,741.535
0min27sec,0,1430,487.799,754.165,739.871
0min28sec,0,1440,483.758,752.479,738.187
0min27sec,0,1450,479.257,750.897,736.607
0min27sec,0,1460,474.739,749.353,735.063
